DisplayOrder,COUNTRY,ISO3,WHO_REGION,WHO_REGION_SHORTNAME,CasesAll,CasesLast24Hours,CasesLast7Days,DeathsAll,DeathsLast24Hours,DeathsLast7Days,Latitude,Longitude,MPX_DataAvailable,LASTREPDATE
3,KYRGYZSTAN,KGZ,WHO European Region,EURO,0,0,0,0,0,0,41.46490717,74.555493,0,
3,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,18.50245057,103.76340559,0,
3,LATVIA,LVA,WHO European Region,EURO,5,0,0,0,0,0,56.85766939,24.92915332,1,2022-10-04T00:00:00
3,LEBANON,LBN,WHO Eastern Mediterranean Region,EMRO,11,0,0,0,0,0,33.92039304,35.88806123,1,2022-09-09T00:00:00
3,LESOTHO,LSO,WHO African Region,AFRO,0,0,0,0,0,0,-29.58100795,28.24284034,0,
3,LIBERIA,LBR,WHO African Region,AFRO,3,0,0,0,0,0,6.44811846,-9.30784656,1,2022-10-04T00:00:00
3,LIBYA,LBY,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,27.04404524,18.02318627,0,
3,LIECHTENSTEIN,LIE,WHO European Region,EURO,0,0,0,0,0,0,47.15259548,9.55526493,0,
3,LITHUANIA,LTU,WHO European Region,EURO,5,0,0,0,0,0,55.33585013,23.89683075,1,2022-10-04T00:00:00
3,LUXEMBOURG,LUX,WHO European Region,EURO,55,0,0,0,0,0,49.77096396,6.08754416,1,2022-10-04T00:00:00
3,MADAGASCAR,MDG,WHO African Region,AFRO,0,0,0,0,0,0,-19.37352133,46.70599248,0,
3,MALAWI,MWI,WHO African Region,AFRO,0,0,0,0,0,0,-13.21510424,34.30698504,0,
3,MALAYSIA,MYS,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,3.79382045,109.7115743,0,
3,MALDIVES,MDV,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,3.37481932,73.25178478,0,
3,MALI,MLI,WHO African Region,AFRO,0,0,0,0,0,0,17.35036933,-3.52433672,0,
3,MALTA,MLT,WHO European Region,EURO,33,0,0,0,0,0,35.92036651,14.40457358,1,2022-10-04T00:00:00
3,MARSHALL ISLANDS,MHL,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,8.42167996,168.61039424,0,
3,MARTINIQUE,MTQ,WHO Region of the Americas,AMRO,1,0,0,0,0,0,14.65277419,-61.02147382,1,2022-07-20T00:00:00
3,MAURITANIA,MRT,WHO African Region,AFRO,0,0,0,0,0,0,20.25990361,-10.33226041,0,
