Date,Cases,Cumulative_cases,Country
2022-06-16,0,52,Belgium
2022-06-17,10,62,Belgium
2022-06-18,0,62,Belgium
2022-06-19,0,62,Belgium
2022-06-20,0,62,Belgium
2022-06-21,15,77,Belgium
2022-06-22,0,77,Belgium
2022-06-23,0,77,Belgium
2022-06-24,0,77,Belgium
2022-06-25,0,77,Belgium
2022-06-26,0,77,Belgium
2022-06-27,0,77,Belgium
2022-06-28,40,117,Belgium
2022-06-29,0,117,Belgium
2022-06-30,0,117,Belgium
2022-07-01,0,117,Belgium
2022-07-02,0,117,Belgium
2022-07-03,0,117,Belgium
2022-07-04,0,117,Belgium
2022-07-05,51,168,Belgium
2022-07-06,0,168,Belgium
2022-07-07,0,168,Belgium
2022-07-08,0,168,Belgium
2022-07-09,0,168,Belgium
2022-07-10,0,168,Belgium
2022-07-11,0,168,Belgium
2022-07-12,56,224,Belgium
2022-06-14,3,3,Benin
2022-06-15,0,3,Benin
2022-06-16,0,3,Benin
2022-06-17,0,3,Benin
2022-06-18,0,3,Benin
2022-06-19,0,3,Benin
2022-06-20,0,3,Benin
2022-06-21,0,3,Benin
2022-06-22,0,3,Benin
2022-06-23,0,3,Benin
2022-06-24,0,3,Benin
2022-06-25,0,3,Benin
2022-06-26,0,3,Benin
2022-06-27,0,3,Benin
2022-06-28,0,3,Benin
2022-06-29,0,3,Benin
2022-06-30,0,3,Benin
2022-07-01,0,3,Benin
2022-07-02,0,3,Benin
2022-07-03,0,3,Benin
2022-07-04,0,3,Benin
2022-07-05,0,3,Benin
2022-07-06,0,3,Benin
2022-07-07,0,3,Benin
2022-07-08,0,3,Benin
2022-07-09,0,3,Benin
2022-07-10,0,3,Benin
2022-07-11,0,3,Benin
2022-07-12,0,3,Benin
2022-06-08,1,1,Brazil
2022-06-09,0,1,Brazil
2022-06-10,0,1,Brazil
2022-06-11,1,2,Brazil
2022-06-12,1,3,Brazil
2022-06-13,0,3,Brazil
2022-06-14,2,5,Brazil
2022-06-15,0,5,Brazil
2022-06-16,1,6,Brazil
2022-06-17,1,7,Brazil
2022-06-18,0,7,Brazil
2022-06-19,1,8,Brazil
2022-06-20,0,8,Brazil
2022-06-21,1,9,Brazil
2022-06-22,2,11,Brazil
2022-06-23,5,16,Brazil
2022-06-24,1,17,Brazil
2022-06-25,2,19,Brazil
2022-06-26,1,20,Brazil
2022-06-27,0,20,Brazil
2022-06-28,1,21,Brazil
2022-06-29,16,37,Brazil
2022-06-30,12,49,Brazil
2022-07-01,15,64,Brazil
2022-07-02,12,76,Brazil
2022-07-03,2,78,Brazil
2022-07-04,2,80,Brazil
2022-07-05,26,106,Brazil
2022-07-06,36,142,Brazil
2022-07-07,31,173,Brazil
2022-07-08,33,206,Brazil
2022-07-09,14,220,Brazil
2022-07-10,0,220,Brazil
2022-07-11,0,220,Brazil
2022-07-12,0,220,Brazil
2022-06-23,2,2,Bulgaria
2022-06-24,0,2,Bulgaria
2022-06-25,0,2,Bulgaria
2022-06-26,0,2,Bulgaria
2022-06-27,1,3,Bulgaria
2022-06-28,0,3,Bulgaria
2022-06-29,0,3,Bulgaria
2022-06-30,0,3,Bulgaria
2022-07-01,0,3,Bulgaria
2022-07-02,0,3,Bulgaria
2022-07-03,0,3,Bulgaria
2022-07-04,0,3,Bulgaria
2022-07-05,0,3,Bulgaria
2022-07-06,0,3,Bulgaria
2022-07-07,0,3,Bulgaria
2022-07-08,0,3,Bulgaria
2022-07-09,0,3,Bulgaria
2022-07-10,0,3,Bulgaria
2022-07-11,0,3,Bulgaria
2022-07-12,0,3,Bulgaria
2022-02-19,1,1,Cameroon
2022-02-20,0,1,Cameroon
2022-02-21,0,1,Cameroon
2022-02-22,0,1,Cameroon
2022-02-23,0,1,Cameroon
2022-02-24,0,1,Cameroon
2022-02-25,0,1,Cameroon
2022-02-26,0,1,Cameroon
2022-02-27,0,1,Cameroon
2022-02-28,0,1,Cameroon
2022-03-01,0,1,Cameroon
2022-03-02,0,1,Cameroon
2022-03-03,0,1,Cameroon
2022-03-04,0,1,Cameroon
2022-03-05,0,1,Cameroon
2022-03-06,0,1,Cameroon
2022-03-07,0,1,Cameroon
2022-03-08,0,1,Cameroon
2022-03-09,0,1,Cameroon
2022-03-10,0,1,Cameroon
2022-03-11,0,1,Cameroon
2022-03-12,0,1,Cameroon
2022-03-13,0,1,Cameroon
2022-03-14,0,1,Cameroon
2022-03-15,0,1,Cameroon
2022-03-16,0,1,Cameroon
2022-03-17,0,1,Cameroon
2022-03-18,0,1,Cameroon
2022-03-19,0,1,Cameroon
2022-03-20,0,1,Cameroon
2022-03-21,0,1,Cameroon
2022-03-22,0,1,Cameroon
2022-03-23,0,1,Cameroon
2022-03-24,0,1,Cameroon
2022-03-25,0,1,Cameroon
2022-03-26,0,1,Cameroon
2022-03-27,0,1,Cameroon
2022-03-28,0,1,Cameroon
